"","x"
"1","these"
"2","those"
"3","them"
"4","some"
"5","any"
"6","a lot"
"7","none"
"8","their"
"9","our"
"10","the"
"11","your"
"12","my"
"13","his"
"14","her"
"15","a"
"16","each"
"17","another"
"18","us"
"19","him"
"20","me"
"21","that"
"22","this"
"23","it"
"24","which (question)"
"25","every"
"26","they"
"27","you"
"28","we"
"29","she"
"30","he"
"31","hers"
"32","what"
"33","who"
"34","yourself"
"35","myself"
"36","more"
"37","mine"
"38","full"
"39","people"
"40","lemme"
"41","yum yum"
"42","i"
"43","breakfast"
"44","sick"
"45","much"
"46","long"
"47","money"
"48","today"
"49","last"
"50","all"
"51","tired"
"52","quack quack"
"53","brown"
"54","underpants"
"55","candy"
"56","bread"
"57","dinner"
"58","popcorn"
"59","lunch"
"60","tonight"
"61","tomorrow"
"62","mommy"
"63","chocolate"
"64","ice cream"
"65","vanilla"
"66","choo choo"
"67","orange (food)"
"68","orange (description)"
"69","juice"
"70","jello"
"71","food"
"72","meat"
"73","cereal"
"74","ice"
"75","pudding"
"76","strawberry"
"77","applesauce"
"78","spaghetti"
"79","coffee"
"80","chicken (animal)"
"81","chicken (food)"
"82","milk"
"83","toast"
"84","soup"
"85","tuna"
"86","noodles"
"87","sauce"
"88","corn"
"89","carrots"
"90","cheese"
"91","butter"
"92","salt"
"93","yogurt"
"94","fish (food)"
"95","peas"
"96","grapes"
"97","beans"
"98","play dough"
"99","jelly"
"100","sandwich"
"101","vitamins"
"102","soda"
"103","cake"
"104","gum"
"105","coke"
"106","pizza"
"107","hamburger"
"108","potato"
"109","cheerios"
"110","nuts"
"111","banana"
"112","muffin"
"113","apple"
"114","snack"
"115","donut"
"116","popsicle"
"117","cookie"
"118","turkey"
"119","pretzel"
"120","raisin"
"121","plate"
"122","bowl"
"123","grandpa"
"124","gas station"
"125","spoon"
"126","dish"
"127","pancake"
"128","melon"
"129","cracker"
"130","egg"
"131","fork"
"132","grandma"
"133","oven"
"134","lollipop"
"135","knife"
"136","jar"
"137","refrigerator"
"138","cup"
"139","napkin"
"140","medicine"
"141","soap"
"142","tray"
"143","glass"
"144","bottle"
"145","water (beverage)"
"146","kitchen"
"147","play pen"
"148","scissors"
"149","stove"
"150","bath"
"151","babysitter"
"152","basket"
"153","sweater"
"154","child"
"155","playground"
"156","table"
"157","nap"
"158","mouth"
"159","paper"
"160","garbage"
"161","sink"
"162","trash"
"163","couch"
"164","bucket"
"165","sprinkler"
"166","water (not beverage)"
"167","bathtub"
"168","garden"
"169","box"
"170","vagina"
"171","beads"
"172","purse"
"173","bubbles"
"174","grass"
"175","frog"
"176","store"
"177","chair"
"178","crib"
"179","hurt (description)"
"180","bed"
"181","woods"
"182","stroller"
"183","shower"
"184","ankle"
"185","bathroom"
"186","tape"
"187","sidewalk"
"188","bench"
"189","sandbox"
"190","basement"
"191","house"
"192","picnic"
"193","drawer"
"194","room"
"195","teacher"
"196","potty"
"197","porch"
"198","shirt"
"199","friend"
"200","butt"
"201","penis"
"202","bib"
"203","belly button"
"204","tummy"
"205","face"
"206","head"
"207","shorts"
"208","glasses"
"209","pajamas"
"210","hand"
"211","ear"
"212","lips"
"213","arm"
"214","shoulder"
"215","hair"
"216","coat"
"217","toothbrush"
"218","blanket"
"219","pants"
"220","leg"
"221","pillow"
"222","necklace"
"223","jacket"
"224","drink (action)"
"225","mittens"
"226","jeans"
"227","tights"
"228","tongue"
"229","tooth"
"230","crayon"
"231","ball"
"232","finger"
"233","bedroom"
"234","keys"
"235","foot"
"236","nose"
"237","brother"
"238","sister"
"239","chin"
"240","nails"
"241","knee"
"242","cheek"
"243","sneaker"
"244","pencil"
"245","diaper"
"246","boots"
"247","sock"
"248","hat"
"249","snowsuit"
"250","scarf"
"251","belt"
"252","uncle"
"253","eye"
"254","shoe"
"255","gloves"
"256","car"
"257","slipper"
