uni_lemma,word,addword,subword
baa baa,baa,NA,NA
choo choo,choo,NA,NA
cockadoodledoo,NA,NA,NA
quack quack,quack,NA,NA
uh oh,uhoh,NA,NA
woof woof,woof,NA,NA
yum yum,yum,NA,NA
chicken (animal),chicken,food,NA
fish (animal),fish,NA,food
teddybear,teddy,NA,NA
play dough,playdough,NA,NA
toy (object),toy,NA,NA
chicken (food),chicken,food,NA
drink (beverage),NA,NA,NA
fish (food),fish,food,NA
french fries,fries,NA,NA
green beans,NA,NA,NA
ice cream,ice,cream,NA
orange (food),orange,food,NA
peanut butter,peanut,NA,NA
potato chip,chips,NA,NA
water (beverage),water,drink,NA
dress (object),dress,NA,NA
belly button,belly,NA,NA
brush (object),brush,NA,NA
can (object),NA,NA,NA
comb (object),comb,NA,NA
watch (object),watch,clock,NA
high chair,highchair,NA,NA
living room,NA,NA,NA
play pen,playroom,NA,NA
rocking chair,rocking,chair,NA
washing machine,washing,machine,NA
lawn mower,lawnmower,NA,NA
rock (object),rock,stone,NA
slide (object),slide,NA,NA
swing (object),NA,NA,NA
water (not beverage),water,outside,NA
gas station,gas,NA,NA
work (place),NA,NA,NA
babysitter's name,NA,NA,NA
child's own name,NA,NA,NA
pet's name,NA,NA,NA
call on phone,call,phone,NA
give me five,NA,NA,NA
gonna get you,NA,NA,NA
go potty,NA,NA,NA
good night,good_night,NA,NA
so big,NA,NA,NA
thank you,thank_you,NA,NA
this little piggy,NA,NA,NA
turn around,NA,NA,NA
clean (action),clean,NA,NA
cover (action),NA,NA,NA
drink (action),drink,NA,NA
dry (action),dry,NA,NA
open (action),open,NA,NA
paint (action),paint,NA,NA
slide (action),NA,NA,NA
swing (action),swing,NA,NA
watch (action),watch,NA,NA
work (action),NA,NA,NA
all gone,NA,NA,NA
clean (description),NA,NA,NA
dry (description),NA,NA,NA
hurt (description),hurt,NA,NA
little (description),little,NA,NA
orange (description),orange,food,NA
wet (description),wet,NA,NA
when (question),when,NA,NA
where (question),where,NA,NA
which (question),which,NA,NA
back (location),back,NA,NA
next to,next_to,NA,NA
on top of,NA,NA,NA
a lot,a_lot,NA,NA
can (auxiliary),can,NA,NA
