CUE, TARGET, NORMED?, #G, #P, FSG
A, B, NO,152,69,0.454
A, ALPHABET, YES,152,10,0.066
A, THE, NO,152,10,0.066
A, GRADE, YES,152,9,0.059
A, LETTER, YES,152,6,0.039
A, PLUS, YES,152,5,0.033
A, AN, NO,152,4,0.026
A, Z, NO,152,3,0.02
A, AND, NO,152,2,0.013
A, APPLE, YES,152,2,0.013
A, GREAT, YES,152,2,0.013
A, ONE, YES,152,2,0.013
A, WORD, YES,152,2,0.013
AARDVARK, ANIMAL, YES,152,49,0.322
AARDVARK, ANT, YES,152,30,0.197
AARDVARK, ANTEATER, YES,152,9,0.059
AARDVARK, PINK PANTHER, NO,152,4,0.026
AARDVARK, MUSIC, YES,152,3,0.02
AARDVARK, NOSE, YES,152,3,0.02
AARDVARK, UGLY, YES,152,3,0.02
AARDVARK, CONFUSED, NO,152,2,0.013
AARDVARK, DICTIONARY, YES,152,2,0.013
AARDVARK, FUR, YES,152,2,0.013
AARDVARK, ROAD KILL, NO,152,2,0.013
AARDVARK, SHELL, YES,152,2,0.013
AARDVARK, ZOO, YES,152,2,0.013
ABDOMEN, STOMACH, YES,152,86,0.566
ABDOMEN, BODY, YES,152,11,0.072
ABDOMEN, MUSCLE, YES,152,7,0.046
ABDOMEN, SIT UPS, NO,152,4,0.026
ABDOMEN, ORGAN, YES,152,3,0.02
ABDOMEN, PAIN, YES,152,3,0.02
ABDOMEN, BELLY, YES,152,2,0.013
ABDOMEN, CRAMP, YES,152,2,0.013
ABDOMEN, CRUNCHES, NO,152,2,0.013
ABDOMEN, INTESTINE, YES,152,2,0.013
ABDOMEN, SEX, YES,152,2,0.013
ABDOMEN, SIX PACK, NO,152,2,0.013
ABDUCT, KIDNAP, YES,150,68,0.453
ABDUCT, TAKE, YES,150,27,0.18
ABDUCT, STEAL, YES,150,10,0.067
ABDUCT, ALIEN, NO,150,7,0.047
ABDUCT, ADDUCT, NO,150,6,0.04
ABDUCT, CHILD, YES,150,3,0.02
ABDUCT, CAPTURE, YES,150,2,0.013
ABDUCT, HARASS, NO,150,2,0.013
ABDUCT, KIDNAPPER, NO,150,2,0.013
ABDUCT, MISSING, YES,150,2,0.013
ABDUCT, OPEN, YES,150,2,0.013
ABILITY, CAPABILITY, YES,143,17,0.119
ABILITY, ABLE, YES,143,11,0.077
ABILITY, COMPETENCE, YES,143,9,0.063
ABILITY, SKILL, YES,143,8,0.056
ABILITY, STRENGTH, YES,143,8,0.056
ABILITY, INABILITY, YES,143,6,0.042
ABILITY, POWER, YES,143,5,0.035
ABILITY, TALENT, YES,143,5,0.035
ABILITY, DISABILITY, NO,143,4,0.028
ABILITY, DO, YES,143,3,0.021
ABILITY, POTENTIAL, YES,143,3,0.021
ABILITY, ATHLETE, YES,143,2,0.014
ABILITY, CAN, YES,143,2,0.014
ABILITY, CAPACITY, YES,143,2,0.014
ABILITY, KNOW HOW, NO,143,2,0.014
ABILITY, KNOWLEDGE, YES,143,2,0.014
ABILITY, MIND, YES,143,2,0.014
ABILITY, PHYSICAL, YES,143,2,0.014
ABILITY, SPORT, YES,143,2,0.014
ABILITY, TO, NO,143,2,0.014
ABILITY, UNABLE, NO,143,2,0.014
ABILITY, WORK, YES,143,2,0.014
ABLE, WILLING, YES,148,39,0.264
ABLE, CAN, YES,148,29,0.196
ABLE, CAPABLE, NO,148,14,0.095
ABLE, UNABLE, NO,148,14,0.095
ABLE, TO, NO,148,7,0.047
ABLE, DISABLED, NO,148,4,0.027
ABLE, DO, YES,148,4,0.027
ABLE, BODIED, NO,148,3,0.02
ABLE, HANDICAPPED, NO,148,3,0.02
ABLE, STRONG, YES,148,3,0.02
ABLE, ABILITY, YES,148,2,0.014
ABLE, CAIN, NO,148,2,0.014
ABLE, EASY, YES,148,2,0.014
ABLE, READY, YES,148,2,0.014
ABLE, WELL, YES,148,2,0.014
ABNORMAL, NORMAL, YES,139,39,0.281
ABNORMAL, WEIRD, YES,139,30,0.216
ABNORMAL, STRANGE, YES,139,15,0.108
ABNORMAL, DIFFERENT, YES,139,7,0.05
ABNORMAL, RETARDED, YES,139,5,0.036
ABNORMAL, CRAZY, YES,139,4,0.029
ABNORMAL, ODD, YES,139,4,0.029
ABNORMAL, DEFORMED, NO,139,2,0.014
ABNORMAL, INSANE, YES,139,2,0.014
