"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy","mommy"
"2","bicycle","salt","hat","applesauce","glasses","bottle","good night","shopping","hand","back (location)","me","child","elephant","moo","applesauce","plate","story","candy","daddy","nails","garage","hose","garage","napkin","sneaker","feed","bye","her","shopping","sock","chair","pancake","box","stroller","brother","take","beads","hat","butter","it","shovel","story","salt","elephant","applesauce","giraffe","tongue","teddybear","my","man"
"3","gloves","sun","popcorn","baby","shoulder","scarf","toe","potty","glasses","store","police","blanket","oven","cook","brother","nap","sidewalk","tickle","deer","glasses","myself","garage","beside","food","people","love","baa baa","baa baa","clock","food","jump","pumpkin","milk","there","vroom","elephant","lemme","alligator","bread","cow","hers","sled","when (question)","hose","orange (food)","shovel","arm","tomorrow","elephant","out"
"4","squirrel","picnic","glasses","pancake","mailman","knife","mad","penny","yogurt","daddy","butterfly","tricycle","story","gloves","full","bat","sister","today","morning","peanut butter","medicine","elephant","smile","soap","salt","present","boat","tights","sneaker","hose","pour","salt","snowsuit","refrigerator","door","throw","water (beverage)","ear","soup","mailman","eye","him","tired","shopping","lunch","call on phone","airplane","snowman","leg","egg"
"5","cut","doctor","bed","hair","nurse","pencil","radio","hat","play dough","watch (object)","baby","vacuum","trash","beads","cat","tractor","brother","turtle","yard","baa baa","little (description)","deer","heavy","house","daddy","sofa","nap","every","telephone","corn","sheep","ball","tray","aunt","zebra","store","star","eye","soda","camera","truck","play dough","jelly","egg","circus","tissue","popsicle","potato","baby","cat"
"6","rocking chair","moose","dinner","drink (action)","money","beach","pick","fork","button","yogurt","bug","good night","watch (action)","face","scarf","sauce","sink","night","child","gloves","shorts","pudding","window","cereal","picnic","when (question)","grandpa","tv","sock","party","zebra","donut","melon","jacket","button","hear","tummy","vroom","dry (action)","cake","leg","friend","more","shoe","pudding","rock (object)","motorcycle","child","moo","vagina"
"7","donkey","squirrel","water (not beverage)","sock","new","other","drive","plate","park","candy","yum yum","tape","tv","lick","dress (object)","hat","refrigerator","bottle","hair","alligator","good night","bad","jacket","vitamins","sofa","rooster","brush (object)","peekaboo","tuna","coffee","belly button","snack","juice","garbage","underpants","stay","basement","leg","time","dryer","horse","radio","hair","penis","child","horse","cheese","spoon","bedroom","butterfly"
"8","ball","potty","underpants","jacket","oven","playground","build","sock","slide (object)","lunch","popsicle","peanut butter","bug","child","head","truck","bowl","raisin","hamburger","rip","toe","babysitter","bench","toast","it","pickle","potato chip","fish (animal)","teddybear","glasses","helicopter","stick","pancake","nap","carrots","pretend","sink","hi","tuna","jacket","button","downtown","i","penny","popcorn","gloves","camera","bottle","chicken (animal)","tooth"
"9","on","rock (object)","pencil","noodles","airplane","spoon","shake","babysitter","same","does","napkin","man","open (action)","cowboy","yogurt","dump","bed","feed","helicopter","break","basket","bump","house","chicken (animal)","drawer","rocking chair","door","day","donut","black","toast","walker","bird","gloves","brush (object)","chase","cup","sink","plate","wind","drawer","babysitter","bad","porch","bite","block","dog","present","bath","head"
"10","pajamas","friend","leg","donut","drawer","lips","push","brother","keys","quack quack","skate","yourself","mailman","blue","give","bath","hurt (description)","moo","sink","take","leg","around","daddy","tape","washing machine","bite","pen","dance","play dough","turkey","bite","melon","bathtub","hand","pudding","fish (food)","milk","nose","pour","door","hose","scarf","glasses","scissors","touch","babysitter","stairs","cheek","our","plant"
"11","walker","fix","carrots","cat","baby","window","zebra","sled","bath","tricycle","vagina","jeans","church","fish (food)","bird","slipper","cracker","little (description)","dish","thirsty","now","hamburger","none","downtown","ball","flower","mouth","any","couch","chair","baa baa","play dough","catch","vroom","and","run","butt","babysitter","noodles","airplane","child","bug","tissue","soda","nails","moose","coffee","pencil","cat","bird"
